EventNumber DecayParticle1_ime DecayParticle1_bozon DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_ime DecayParticle2_bozon DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
36 b 0 4.18 36.284 -0.752 -0.51 36.5353 36.2918 b 0 4.18 2.316 -18.048 -24.99 31.194 18.196
37 W+ 1 80.4 -8.736 -37.96 -17.667 91.069 38.9523 W- 1 80.4 -32.864 -56.94 -27.633 107.471 65.7435
38 b 0 4.18 -21.758 -25.393 1.55 33.7356 33.4397 b 0 4.18 -72.842 -12.507 13.95 75.329 73.9079
39 b 0 4.18 -1.485 2.816 -17.995 18.7464 3.18356 b 0 4.18 -15.015 5.984 -12.505 20.8592 16.1635
40 b 0 4.18 68.324 7.008 0 68.8095 68.6825 b 0 4.18 21.576 22.192 52.3 60.9161 30.9517
41 b 0 4.18 32.034 7.695 -14.899 36.3984 32.9453 b 0 4.18 52.266 43.605 -16.801 70.2344 68.0671
42 b 0 4.18 -29.605 -1.158 -14.807 33.3844 29.6276 b 0 4.18 -65.895 -56.742 -7.293 87.364 86.9586
43 b 0 4.18 8.37 -0.512 -1.654 9.51458 8.38564 b 0 4.18 0.93 -5.888 -81.046 81.3724 5.96099
44 b 0 4.18 5.712 -56.787 -9.1 57.9454 57.0736 b 0 4.18 89.488 -25.513 -27.3 97.0658 93.0538
45 b 0 4.18 26.775 21.672 18.48 39.3136 34.4467 b 0 4.18 49.725 28.728 65.52 87.2251 57.4271
46 b 0 4.18 3.04 5.278 32.16 32.9975 6.09089 b 0 4.18 12.96 32.422 15.84 38.5685 34.9163
47 b 0 4.18 -3.852 -7.644 -71.811 72.44 8.55971 b 0 4.18 -38.948 -56.056 -19.089 71.0006 68.2585
48 b 0 4.18 -24.695 -11.115 0 27.4018 27.0811 b 0 4.18 -20.205 -13.585 91 94.2935 24.3474
49 W+ 1 80.4 -42.282 19.74 0.912 92.9647 46.663 W- 1 80.4 -30.618 46.06 6.688 97.8155 55.3081
50 b 0 4.18 7.28 -14.69 -2.09 17.048 16.395 b 0 4.18 38.22 -7.91 -8.91 40.2517 39.0299
51 W+ 1 80.4 14.145 52.839 16.04 98.557 54.6995 W- 1 80.4 47.355 39.861 64.16 120.05 61.8983
52 W+ 1 80.4 -10.998 -5.202 6.732 81.5935 12.1662 W- 1 80.4 -12.402 -25.398 11.968 86.0596 28.2643
53 W+ 1 80.4 -21.242 -0.204 42.07 93.195 21.243 W- 1 80.4 -60.458 -4.896 18.03 102.315 60.6559
54 b 0 4.18 3.096 -57.024 -3.87 57.3914 57.108 b 0 4.18 31.304 -13.376 -34.83 48.8821 34.042
55 b 0 4.18 51.584 20.02 -2.016 55.527 55.3327 b 0 4.18 29.016 51.48 -23.184 63.6167 59.0942
56 W+ 1 80.4 3.388 -1.47 0.884 80.4896 3.69316 W- 1 80.4 8.712 -0.63 43.316 91.7428 8.73475
57 b 0 4.18 41.085 0.965 -15.56 44.1418 41.0963 b 0 4.18 33.615 18.335 -23.34 45.0374 38.2902
58 b 0 4.18 64.906 -0.252 12.454 66.2225 64.9065 b 0 4.18 13.294 -6.048 83.346 84.7192 14.6051
59 b 0 4.18 -0.662 -3.822 -31.28 31.7955 3.87891 b 0 4.18 -65.538 -23.478 -5.52 69.9599 69.6164
60 b 0 4.18 -4.2 2.448 -14.148 15.5329 4.86135 b 0 4.18 -3.3 28.152 -25.152 38.1251 28.3448
61 b 0 4.18 28.132 16.184 4.228 32.9951 32.4551 b 0 4.18 25.968 31.416 25.972 48.511 40.7591
62 b 0 4.18 -8.5 -0.6 3.014 9.95824 8.52115 b 0 4.18 -1.5 -14.4 24.386 28.6663 14.4779
63 b 0 4.18 -0.254 53.77 -0.102 53.9329 53.7706 b 0 4.18 -12.446 2.83 -3.298 13.8297 12.7637
64 b 0 4.18 15.865 4.955 0 17.1383 16.6208 b 0 4.18 0.835 94.145 42.7 103.464 94.1487
65 b 0 4.18 -30.282 -0.858 -0 30.5812 30.2942 b 0 4.18 -0.618 -42.042 -6.2 42.7063 42.0465
66 b 0 4.18 13.684 -12.93 -14.553 24.1599 18.8265 b 0 4.18 48.516 -73.27 -8.547 88.3901 87.8766
67 W+ 1 80.4 0.195 -23.788 -6.394 84.0889 23.7888 W- 1 80.4 0.305 -38.812 -21.406 91.8087 38.8132
68 W+ 1 80.4 -33.264 10.649 -6.467 87.897 34.927 W- 1 80.4 -36.036 35.651 -15.833 96.3558 50.6911
69 b 0 4.18 65.258 26.895 -0 70.7066 70.5829 b 0 4.18 32.142 54.605 -93 112.611 63.3626
70 b 0 4.18 0.33 -5.472 -52.688 53.1371 5.48194 b 0 4.18 2.97 -28.728 -18.512 34.5584 28.8811
71 b 0 4.18 15.84 -12.189 0.529 20.4262 19.9869 b 0 4.18 10.56 -59.511 1.771 60.6109 60.4407
72 b 0 4.18 -32.692 -9.156 7.77 35.0777 33.95 b 0 4.18 -41.608 -34.444 14.43 56.0653 54.0149
73 b 0 4.18 -62.447 3.012 4.692 62.8346 62.5196 b 0 4.18 -18.653 47.188 22.908 55.8291 50.7409
74 b 0 4.18 22.232 3.468 -9.1 24.6287 22.5009 b 0 4.18 17.468 6.732 -81.9 84.1162 18.7203
75 W+ 1 80.4 6.42 -37.24 2.613 88.8764 37.7893 W- 1 80.4 47.08 -38.76 4.087 100.994 60.9825
76 b 0 4.18 0.78 66.16 -6.923 66.657 66.1646 b 0 4.18 5.22 16.54 -91.977 93.6913 17.3442
77 b 0 4.18 15.052 -2.685 -16.448 22.8425 15.2896 b 0 4.18 13.348 -15.215 -34.952 40.6052 20.2402
78 W+ 1 80.4 -4.277 -7.344 11.529 81.6658 8.49865 W- 1 80.4 -28.623 -23.256 6.771 88.7137 36.8798
79 b 0 4.18 -12.354 13.906 28.305 34.1269 18.601 b 0 4.18 -30.246 26.994 48.195 63.1168 40.5401
80 W+ 1 80.4 -25.576 0.232 1.278 84.38 25.5771 W- 1 80.4 -2.224 11.368 20.022 83.6613 11.5835
81 W+ 1 80.4 79.948 -0.592 3.624 113.443 79.9502 W- 1 80.4 6.952 -29.008 56.776 102.847 29.8294
82 b 0 4.18 -73.602 1.143 1.368 73.7421 73.6109 b 0 4.18 -10.998 11.557 32.832 36.7414 15.9537
83 b 0 4.18 -19.947 0.117 -2.782 20.5696 19.9473 b 0 4.18 -12.753 0.783 -7.918 15.6019 12.777
84 W+ 1 80.4 -48 -0 -0 93.6385 48 W- 1 80.4 0 -76.6 -33.3 115.934 76.6
85 b 0 4.18 -54.969 0.516 24.325 60.2581 54.9714 b 0 4.18 -20.331 25.284 72.975 79.9716 32.4443
86 b 0 4.18 0.406 -8.778 -13.3 16.4797 8.78738 b 0 4.18 0.294 -31.122 -53.2 61.7768 31.1234
87 b 0 4.18 12.188 2.184 3.65 13.5688 12.3821 b 0 4.18 43.212 5.616 3.65 43.9273 43.5754
88 b 0 4.18 1.24 -17.568 -3.668 18.4689 17.6117 b 0 4.18 0.76 -55.632 -22.532 60.1719 55.6372
89 W+ 1 80.4 -82.474 -0.582 6.071 115.34 82.4761 W- 1 80.4 -13.426 -57.618 40.629 107.773 59.1616
90 b 0 4.18 25.823 13.653 3.63 29.7301 29.2101 b 0 4.18 26.877 19.647 32.67 46.8314 33.2923
91 b 0 4.18 -12.939 -76.545 -0 77.7433 77.6309 b 0 4.18 -55.161 -17.955 -21.2 61.9034 58.0096
92 b 0 4.18 4.592 14.806 -40.32 43.3991 15.5017 b 0 4.18 52.808 52.494 -17.28 76.5531 74.4601
93 b 0 4.18 -17.507 -32.235 1.86 36.9665 36.6823 b 0 4.18 -11.193 -59.865 44.64 75.6261 60.9024
94 b 0 4.18 -7.25 -25.948 7.524 28.2833 26.9418 b 0 4.18 -17.75 -23.952 32.076 43.9898 29.8121
95 tau+ 0 1.77 -19.886 -5.52 -19.159 28.2157 20.6379 tau- 0 1.77 -12.714 -28.98 -64.141 71.545 31.6463
96 Z 1 91.2 -66.736 1.432 3.738 113.08 66.7514 Z 1 91.2 -10.864 16.468 58.562 110.164 19.7287
97 W+ 1 80.4 -5.144 31.878 38.3 94.7297 32.2904 W- 1 80.4 -59.156 44.022 38.3 115.622 73.7385
98 b 0 4.18 -50.92 2.36 -8.512 51.8492 50.9747 b 0 4.18 -16.08 44.84 -36.288 60.029 47.636
99 b 0 4.18 6 -21.77 14.705 27.2698 22.5817 b 0 4.18 6.5 -40.43 71.795 82.7577 40.9492
100 W+ 1 80.4 7.788 33.082 -54.945 103.142 33.9863 W- 1 80.4 63.012 64.218 -44.955 128.762 89.9692
101 b 0 4.18 78.606 -0.766 -0 78.7208 78.6097 b 0 4.18 0.793999 -75.834 -60.8 97.291 75.8382
102 W+ 1 80.4 21.462 -38.06 -0.933 91.5107 43.6942 W- 1 80.4 29.638 -31.14 -30.167 96.0329 42.9897
103 b 0 4.18 -17.94 53.268 -0.88 56.3699 56.2079 b 0 4.18 -71.76 23.932 -7.12 76.0947 75.6455
104 b 0 4.18 -70.56 3.97 -1.332 70.8076 70.6716 b 0 4.18 -27.44 35.73 -6.068 45.6495 45.0509
105 W+ 1 80.4 13.629 38.181 -1.602 90.057 40.5406 W- 1 80.4 9.471 59.719 -78.498 127.602 60.4654
106 b 0 4.18 -41.55 -6.512 -0.612 42.2689 42.0572 b 0 4.18 -13.85 -23.088 -19.788 33.6737 26.9236
107 b 0 4.18 11.535 43.34 2.214 45.0975 44.8488 b 0 4.18 65.365 55.16 3.186 85.6903 85.529
108 W+ 1 80.4 23.582 40.152 -0.504 92.9124 46.5649 W- 1 80.4 67.118 31.548 -2.296 109.405 74.1627
109 Z 1 91.2 22.537 -2.55 -21.24 96.3483 22.6808 Z 1 91.2 50.163 -22.95 -14.76 107.603 55.1637
110 b 0 4.18 11.088 -19.65 16.038 27.9956 22.5625 b 0 4.18 12.012 -58.95 43.362 74.2774 60.1614
111 W+ 1 80.4 84.235 6.251 -1.144 116.619 84.4666 W- 1 80.4 14.865 83.049 -13.156 117.283 84.3689
112 W+ 1 80.4 57.59 -1.47 16.7 100.309 57.6088 W- 1 80.4 31.01 -13.23 50.1 100.553 33.7143
113 b 0 4.18 -1.524 38.766 19.36 43.5592 38.7959 b 0 4.18 -49.276 53.534 15.84 74.5814 72.76
114 tau+ 0 1.77 16.48 6.734 4.002 18.3326 17.8027 tau- 0 1.77 24.72 11.466 13.398 30.4169 27.2497
115 W+ 1 80.4 35.404 5.39 -25.2 91.5516 35.8119 W- 1 80.4 31.396 71.61 -37.8 118.35 78.1902
116 b 0 4.18 36.52 10.752 -0 38.2987 38.0699 b 0 4.18 4.98 78.848 -93.7 122.633 79.0051
117 b 0 4.18 -49.203 11.25 -7.117 51.1432 50.4727 b 0 4.18 -20.097 51.25 -57.583 79.773 55.0495
118 b 0 4.18 30.752 20.574 -29.028 47.2131 36.9997 b 0 4.18 65.348 55.626 -41.772 95.5353 85.8173
119 W+ 1 80.4 -43.488 12.691 -1.08 92.2908 45.302 W- 1 80.4 -47.112 21.609 -6.12 95.8546 51.8314
120 W+ 1 80.4 33.575 8.715 0 87.5636 34.6876 W- 1 80.4 8.925 32.785 94.2 128.422 33.9781
121 b 0 4.18 -15.026 -40.515 3.715 43.572 43.2116 b 0 4.18 -53.274 -14.985 70.585 89.7908 55.3414
122 W+ 1 80.4 7.032 -39.56 5.292 90.0367 40.1801 W- 1 80.4 80.868 -52.44 5.508 125.635 96.3825
123 b 0 4.18 -34.713 -2.8 -1.524 35.1088 34.8257 b 0 4.18 -5.187 -25.2 -49.276 55.7453 25.7283
124 b 0 4.18 -0.72 -1.512 -78.498 78.6271 1.67468 b 0 4.18 -35.28 -15.288 -9.702 39.8748 38.45
125 b 0 4.18 57.72 17.56 1.266 60.4899 60.332 b 0 4.18 16.28 70.24 62.034 95.2071 72.102
126 b 0 4.18 39.75 -2.142 8.28 40.874 39.8077 b 0 4.18 13.25 -28.458 37.72 49.2513 31.3914
127 W+ 1 80.4 4.173 -1.472 -1.131 80.5296 4.42501 W- 1 80.4 6.527 -3.128 -2.769 80.7726 7.23782
128 tau+ 0 1.77 -35.002 -4.064 -3.354 35.4406 35.2371 tau- 0 1.77 -5.698 -46.736 -52.546 70.5757 47.0821
129 b 0 4.18 85.239 -0.623 -0 85.3437 85.2413 b 0 4.18 0.861 -61.677 -98.9 116.634 61.683
130 b 0 4.18 -59.348 -9.15 -3.366 60.2886 60.0492 b 0 4.18 -20.852 -51.85 -27.234 62.3088 55.8858
131 b 0 4.18 -40.905 10.505 6.128 42.8789 42.2324 b 0 4.18 -9.595 84.995 70.472 110.905 85.5349
132 b 0 4.18 10.584 0.4 -17.034 20.4893 10.5916 b 0 4.18 8.316 3.6 -33.066 34.5391 9.06178
133 Z 1 91.2 -31.08 -6.392 -6.188 96.7603 31.7305 Z 1 91.2 -46.62 -73.508 -5.712 126.202 87.0451
134 b 0 4.18 -14.949 30 -2.492 33.8697 33.5182 b 0 4.18 -30.351 20 -33.108 49.3436 36.3481
135 b 0 4.18 23.625 -20.37 10.96 33.3267 31.1942 b 0 4.18 13.875 -76.63 57.54 96.9175 77.876
136 b 0 4.18 14.365 -10.185 -44.832 48.3474 17.6093 b 0 4.18 70.135 -18.915 -48.568 87.4815 72.6409
137 b 0 4.18 1.413 -56.445 0.76 56.6223 56.4627 b 0 4.18 14.287 -23.055 3.04 27.611 27.1229
138 W+ 1 80.4 -60.3 0 -0 100.5 60.3 W- 1 80.4 0 28.3 -15.3 86.5976 28.3
139 b 0 4.18 -48.83 3.592 -0.154 49.1403 48.9619 b 0 4.18 -2.57 86.208 -15.246 87.6832 86.2463
140 W+ 1 80.4 22.113 -25.952 19.803 89.5478 34.0953 W- 1 80.4 59.787 -55.148 28.497 117.864 81.3375
141 W+ 1 80.4 -2.811 -29.88 -46.696 97.7005 30.0119 W- 1 80.4 -90.889 -36.52 -43.104 133.853 97.9516
142 b 0 4.18 -79.028 -1.976 0 79.1631 79.0527 b 0 4.18 -6.872 -22.724 22.3 32.8385 23.7404
143 b 0 4.18 4.59 -7.882 0.629 10.053 9.12108 b 0 4.18 0.81 -48.418 62.271 78.9944 48.4248
144 W+ 1 80.4 -0.12 56.21 2.686 98.1374 56.2101 W- 1 80.4 -1.08 20.79 13.114 84.0805 20.818
145 W+ 1 80.4 -57.81 -12.96 -0 99.8705 59.2449 W- 1 80.4 -12.69 -59.04 -75.9 125.983 60.3884
146 b 0 4.18 -13.486 -0.515 11.388 18.1465 13.4958 b 0 4.18 -47.814 -9.785 4.212 49.1644 48.805
147 b 0 4.18 -0.92 -73.744 -0.674 73.8712 73.7497 b 0 4.18 -8.28 -10.056 -33.026 35.7473 13.0262
148 b 0 4.18 -5.598 62.22 6.344 62.9316 62.4713 b 0 4.18 -87.702 29.28 18.056 94.2998 92.4606
149 W+ 1 80.4 -3.74 12.285 -0.698 81.4221 12.8417 W- 1 80.4 -0.66 82.215 -34.202 119.974 82.2176
150 W+ 1 80.4 -29.822 -6.851 2.744 86.0696 30.5988 W- 1 80.4 -18.278 -15.249 36.456 91.432 23.8037
151 tau+ 0 1.77 41.008 -8.991 5.781 42.4152 41.9821 tau- 0 1.77 52.192 -90.909 6.519 105.043 104.826
152 Z 1 91.2 -0.176 -0.897 7.249 91.4922 0.914103 Z 1 91.2 -0.024 -88.803 58.651 140.155 88.803
153 b 0 4.18 -0.716 -5.865 -16.827 18.3175 5.90854 b 0 4.18 -17.184 -28.635 -4.473 33.9519 33.3954
154 W+ 1 80.4 23.542 -15.808 3.45 85.324 28.357 W- 1 80.4 6.258 -82.992 65.55 132.995 83.2276
155 W+ 1 80.4 4.554 -0.063 20.74 83.1568 4.55444 W- 1 80.4 36.846 -0.237 9.76 88.9781 36.8468
156 b 0 4.18 61.171 -2.874 -6.062 61.6796 61.2385 b 0 4.18 12.529 -92.926 -37.238 100.977 93.7668
157 b 0 4.18 -30.268 -0.504 43.3 52.9978 30.2722 b 0 4.18 -34.132 -16.296 43.3 57.6447 37.8227
158 b 0 4.18 -10.17 -8.829 0.812 14.1249 13.4677 b 0 4.18 -1.13 -89.271 80.388 120.209 89.2781
159 W+ 1 80.4 37.71 -0.913 -1.08 88.8156 37.7211 W- 1 80.4 4.19 -90.387 -10.92 121.535 90.4841
160 b 0 4.18 43.18 -2.532 1.74 43.4905 43.2542 b 0 4.18 20.32 -81.868 4.26 84.563 84.3521
161 b 0 4.18 8.619 16.564 23.688 30.4507 18.6723 b 0 4.18 42.081 23.836 32.712 58.5364 48.3629
162 b 0 4.18 -75.423 0.648 -3.85 75.6396 75.4258 b 0 4.18 -5.677 31.752 -73.15 80.0551 32.2555
163 b 0 4.18 1.484 -0.759 65.6 65.7542 1.66683 b 0 4.18 19.716 -6.141 14.4 25.5199 20.6502
164 b 0 4.18 -66.44 -2.922 -2.907 66.6988 66.5042 b 0 4.18 -9.06 -94.478 -29.393 99.4465 94.9114
165 b 0 4.18 34.496 1.722 20.372 40.3166 34.539 b 0 4.18 19.404 10.578 72.228 75.649 22.1
166 tau+ 0 1.77 -43.95 14.752 11.866 47.8869 46.3597 tau- 0 1.77 -43.95 77.448 23.034 91.9972 89.0494
167 b 0 4.18 42.63 -0.11 0.642 42.8394 42.6301 b 0 4.18 0.869999 -10.89 63.558 64.6254 10.9247
168 W+ 1 80.4 17.433 -3.058 -28.665 87.1728 17.6992 W- 1 80.4 27.267 -10.842 -44.835 96.6197 29.3435
169 b 0 4.18 54.405 -3.3 3.75 54.7935 54.505 b 0 4.18 29.295 -13.2 21.25 38.7488 32.1316
170 b 0 4.18 -2.864 -67.66 -4.796 68.0188 67.7206 b 0 4.18 -68.736 -11.94 -38.804 79.9401 69.7653
171 b 0 4.18 -12.66 23.268 -0.098 26.8171 26.4892 b 0 4.18 -71.74 4.432 -9.702 72.649 71.8768
172 b 0 4.18 56.787 2.346 -4.056 57.1331 56.8354 b 0 4.18 25.513 7.854 -46.644 53.9049 26.6945
173 b 0 4.18 2.265 -36.805 0 37.1108 36.8746 b 0 4.18 12.835 -6.495 0.4 14.9851 14.3848
174 b 0 4.18 -0.49 -14.955 -8.55 17.7332 14.963 b 0 4.18 -0.21 -84.745 -48.45 97.7069 84.7453
175 W+ 1 80.4 47.88 12.65 3.25 94.4841 49.5229 W- 1 80.4 20.52 37.95 61.75 110.175 43.1425
176 b 0 4.18 8.244 -16.074 19.006 26.5525 18.0648 b 0 4.18 14.656 -26.226 54.094 62.018 30.0433
177 b 0 4.18 -70.301 -8.892 -5.511 71.1979 70.8611 b 0 4.18 -20.999 -65.208 -44.589 81.8455 68.5058
178 b 0 4.18 3.75 2.32 -37.444 37.9338 4.40964 b 0 4.18 3.75 55.68 -43.956 71.1613 55.8061
179 b 0 4.18 -37.05 -19.082 -21.252 46.9675 41.6752 b 0 4.18 -60.45 -46.718 -43.148 87.8407 76.3988
180 b 0 4.18 -55.95 -0.108 1.764 56.1338 55.9501 b 0 4.18 -18.65 -2.592 6.636 20.3973 18.8293
181 b 0 4.18 -25.52 -1.379 3.65 26.1528 25.5572 b 0 4.18 -3.48 -18.321 69.35 71.9351 18.6486
182 tau+ 0 1.77 -47.731 23.958 1.032 53.4456 53.4063 tau- 0 1.77 -33.169 48.642 11.868 60.085 58.8747
183 W+ 1 80.4 0.91 1.466 -7.095 80.7309 1.72547 W- 1 80.4 0.49 71.834 -14.405 108.775 71.8357
184 W+ 1 80.4 45.25 -8.244 -5.504 92.79 45.9949 W- 1 80.4 45.25 -37.556 -11.696 100.294 58.8049
185 b 0 4.18 51.24 19.296 0.637 54.9159 54.7528 b 0 4.18 32.76 41.004 8.463 53.3258 52.4838
186 W+ 1 80.4 -59.995 -6.88 15.599 101.756 60.3882 W- 1 80.4 -32.305 -36.12 66.501 115.043 48.4589
187 W+ 1 80.4 0.058 51.699 22.058 98.0995 51.699 W- 1 80.4 2.842 39.001 31.742 94.8729 39.1044
188 b 0 4.18 12.172 -16.44 54.87 58.7079 20.4556 b 0 4.18 59.428 -52.06 38.13 87.8254 79.0059
189 b 0 4.18 12.24 27.055 -10.556 31.7914 29.695 b 0 4.18 21.76 50.245 -25.844 60.6914 54.7545
190 tau+ 0 1.77 -18.824 -7.73 -26.866 33.7492 20.3493 tau- 0 1.77 -17.376 -69.57 -43.834 84.0623 71.7071
191 W+ 1 80.4 9.114 3.48 0.076 80.9898 9.75579 W- 1 80.4 0.686 54.52 7.524 97.4355 54.5243
192 b 0 4.18 6.723 2.178 -0.301 8.21617 7.06699 b 0 4.18 1.577 9.922 -29.799 31.7236 10.0465
193 b 0 4.18 -0.364 4.524 -58.14 58.4665 4.53862 b 0 4.18 -17.836 30.276 -10.26 36.8443 35.1391
194 W+ 1 80.4 2.91 72.333 3.828 108.256 72.3915 W- 1 80.4 16.49 16.967 91.872 124.356 23.6601
195 W+ 1 80.4 -4.318 0.26 -26.108 84.6434 4.32582 W- 1 80.4 -8.382 4.94 -16.692 82.6888 9.72941
196 b 0 4.18 37.632 -17.097 1.968 41.5911 41.3337 b 0 4.18 29.568 -24.603 63.632 74.472 38.4652
197 W+ 1 80.4 7.02 -1.178 15.096 82.1141 7.11815 W- 1 80.4 46.98 -5.022 7.104 93.5252 47.2477
198 b 0 4.18 -12.679 -13.77 -14.364 23.9618 18.7182 b 0 4.18 -28.221 -13.23 -65.436 72.6003 31.1682
199 b 0 4.18 5.316 9.024 -44.992 46.3837 10.4734 b 0 4.18 38.984 28.576 -25.308 54.7203 48.3357
200 Z 1 91.2 -3.608 -7.128 -55.755 107.191 7.98912 Z 1 91.2 -86.592 -14.472 -32.745 130.757 87.793
201 b 0 4.18 2.352 18.525 -46.569 50.3473 18.6737 b 0 4.18 7.448 78.975 -35.131 86.8573 79.3254
202 tau+ 0 1.77 -7.975 -14.245 2.632 16.6307 16.3255 tau- 0 1.77 -6.525 -24.255 30.268 39.3721 25.1173
203 W+ 1 80.4 -0.414 71.73 3.884 107.817 71.7312 W- 1 80.4 -6.486 7.97 93.216 123.527 10.2757
204 W+ 1 80.4 1.778 -17 33.856 88.8963 17.0927 W- 1 80.4 87.122 -33 19.044 124.523 93.1625
205 b 0 4.18 18.675 -3.894 -8.037 21.1183 19.0767 b 0 4.18 6.225 -61.006 -34.263 70.3698 61.3228
206 b 0 4.18 -2.88 -5.808 -1.305 7.82322 6.48284 b 0 4.18 -0.72 -46.992 -13.195 48.9933 46.9975
207 W+ 1 80.4 34.97 -3.955 -12.74 88.6849 35.1929 W- 1 80.4 18.83 -52.545 -32.76 103.213 55.8171
208 b 0 4.18 -44.28 11.94 1.647 46.0811 45.8615 b 0 4.18 -9.72 67.66 53.253 86.7508 68.3546
209 b 0 4.18 -0.576 11.56 2.438 12.5452 11.5743 b 0 4.18 -5.824 5.44 8.162 12.1492 7.96948
